Country,Code,co2,inde_pib,expo_tec,inv,gdpppa
Italia,ITA,5.27086678640297,1.34301,30744972831,1983.41319,36070.8055952064
Jamaica,JAM,2.59321537046218,,3341254,,8512.17437071018
Jordania,JOR,3.00251472703979,,80053130,,9110.92809035585
Japón,JPN,9.53870610327163,3.40022,100954836424,5328.64927,39179.155610609
Kazajstán,KAZ,14.3631697418223,0.16722,3321231321,790.20898,24924.3694351819
Kenya,KEN,0.310415313666165,,,,2909.19695871915
Kirguistán,KGZ,1.64639533887413,0.12536,,,3361.99134931309
Camboya,KHM,0.437759998009271,,30874012,,3301.41917260662
Kiribati,KIR,0.564368357203643,,37752,,1899.10349518
Saint Kitts y Nevis,KNA,4.2989449003517,,7926468,,26789.1004160878
"Corea, República de",KOR,11.5703454093401,4.28874,133447400828,6856.39749,33587.5833961446
Kuwait,KWT,25.2238644264961,0.42705,5333902,605.16332,74847.4521956056
República Democrática Popular Lao,LAO,0.297200883705774,,153563462,,5744.64590286509
Líbano,LBN,4.29573255231446,,38146559,,14612.2256858624
Liberia,LBR,0.21296766351526,,,,1319.46030273284
Libia,LBY,9.18684539340708,,,,17299.9321235531
Santa Lucía,LCA,2.30719132076113,,1728467,,12809.4302719485
Liechtenstein,LIE,1.18522907856816,,,,
Sri Lanka,LKA,0.885247473289056,0.09989,67647675,99.74028,11250.308894609
Lesotho,LSO,1.15011103162712,,433650,,2828.90084376483
Lituania,LTU,4.37809012309851,1.03048,1900957548,3063.96754,28174.3799396118
Luxemburgo,LUX,17.3621213728095,1.25978,648727115,4725.73142,101297.575745297
Letonia,LVA,3.49819288166911,0.6893,1119714939,1859.01172,23808.0701491046
"Región Administrativa Especial de Macao, China",MAC,2.17984275987167,0.08705,38253,1033.96679,138166.926593428
Marruecos,MAR,1.74437997438202,,869791832,1020.60074,7480.14299259158
República de Moldova,MDA,1.38682914196587,0.37055,23886881,746.80204,5032.75581371347
Madagascar,MDG,0.130421320637677,0.0155,3961124,,1449.79302089243
Maldivas,MDV,3.26955984979681,,,,14516.1099823775
México,MEX,3.86624111265674,0.53044,49402709617,,17484.2923449295
Islas Marshall,MHL,1.94101856402889,,,,3894.3704724873
Macedonia del Norte,MKD,3.61493818276338,0.51646,122954582,837.69155,13370.0212105118
Malí,MLI,0.08322866339764,,,,1970.88596220828
Malta,MLT,5.40061395717027,0.71499,849241705,1851.63428,33178.37353865
Myanmar,MMR,0.416600361658081,,15332214,,5040.38163949031
Montenegro,MNE,3.55607179041829,0.3632,7721070,670.73035,15371.1663517548
Mongolia,MNG,7.12732634813277,0.2234,33611478,,11991.9375699386
Mozambique,MOZ,0.309666606914455,,43938980,,1141.03293473355
Mauritania,MRT,0.666822427606843,,,,3862.59167973984
